Marca;Modelo;Pot.CV;Velo.max
Alfa Romeo;    145 1.4 Base;90;178
Alfa Romeo;    155 1.7Twin Spark;115;191
Audi;    Coup‚ 2.0 E;115;196
Audi;    Coupe 2.6 Quattro;150;212
BMW;    316 I;102;195
BMW;    318 IS;140;213
BMW;    320 I;150;214
BMW;    325 I Cabrio;192;229
CITROEN;    AX 11 First 3p;60;167
CITROEN;    AX First Top 3p;60;167
CITROEN;    AX 11 Prestige 5p;60;151
CITROEN;    ZX Avantage 1.4I5p;75;172
CITROEN;    ZX Prestige 1.9D;71;167
CITROEN;    Xantia 1.6 IX;90;175
CITROEN;    Xantia1.8 I SX;103;187
CITROEN;    Xantia 16V VSX;150;213
FIAT;    Punto 55 S 3p;55;150
FIAT;    Punto 75 S 3p;75;170
FIAT;    Punto GT;136;200
FIAT;    Coup‚ 16V;142;208
FIAT;    Croma 2.0IE;117;190
FORD;    Escort RS 2000;150;208
HONDA;    Civic Dream VTEC;125;195
LANCIA;    Delta 1.8IE;101;185
LANCIA;    Dedra 1.6LE;90;180
MAZDA;    121 1.3 16V;73;164
MERCEDES;    C200;136;198
MITSUBISHI;    Colt 1600GLX;113;190
MITSUBISHI;    Galant 2000 GLSI;137;205
NISSAN;    Micra 1.0L 5p;55;150
NISSAN;    Sunny SLX;102;184
OPEL;    Corsa GSI 1.6 I 3p;106;192
OPEL;    Astra Base 1.4 3p;60;160
OPEL;    Astra Sport 1.8 3p;115;200
OPEL;    Astra Cabrio 1.8;115;200
OPEL;    Astra GL 1.7 DT 5p;68;164
OPEL;    Vectra Sport 2.0;136;210
OPEL;    Omega 2.0 16V;136;210
OPEL;    Omega 3.0 V6;211;240
PEUGEOT;    306 Style 1.4 5p;75;165
PEUGEOT;    306 XND 5p;71;162
PORSCHE;    968 CS;240;252
RENAULT;    Laguna RXE 2.0;115;200
ROVER;    Montego 2.0 LXI;104;180
ROVER;    623 SI;158;217
ROVER;    827 SI;169;214
SAAB;    900 S 2.3 I 3p;150;210
SAAB;    900 SE 2.5 V6 3p;170;225
SEAT;    Ibiza 1.4 I CL 5p;60;157
SEAT;    Ibiza 1.9TD GLX 5p;75;165
SEAT;    Cordoba 1.6 ICLX;75;170
SEAT;    Cordoba 1.9 D CLX;68;161
SEAT;    Toledo 1.8 I CL;90;182
SUZUKI;    Swift 1.0 GL;56;145
TOYOTA;    Carina E 1.6XLI 5p;116;195
VOLKSWAGEN;    Polo 1.0 Fox 3p;45;145
VOLKSWAGEN;    Polo 1.3 Fox 3p;55;156
VOLKSWAGEN;    Golf 1.4 CL 3p;60;157
VOLKSWAGEN;    Golf 1.9 CLD 3p;64;156
VOLKSWAGEN;    Vento 1.6 CL;75;168
VOLKSWAGEN;    Vento 1.8 GL;90;180
VOLKSWAGEN;    Passat VR6 GL;174;224
VOLVO;    850 GLT;170;215
VOLVO;    960 2.5 24V;170;210
