Dia;Mes;ano2022;diaSem2022;LF 2022;Sem2022;ano1976;diaSem1976;LF 1976;Sem1976
1;Enero;90;S;F;1;201;J;L;1
2;Enero;112;D;F;1;250;V;L;1
3;Enero;166;L;L;2;261;S;F;1
4;Enero;135;M;L;2;218;D;F;1
5;Enero;152;X;L;2;227;L;L;2
6;Enero;123;J;L;2;214;M;L;2
7;Enero;139;V;L;2;242;X;L;2
8;Enero;140;S;F;2;249;J;L;2
9;Enero;120;D;F;2;241;V;L;2
10;Enero;134;L;L;3;264;S;F;2
11;Enero;150;M;L;3;203;D;F;2
12;Enero;134;X;L;3;257;L;L;3
13;Enero;135;J;L;3;221;M;L;3
14;Enero;134;V;L;3;257;X;L;3
15;Enero;128;S;F;3;231;J;L;3
16;Enero;117;D;F;3;248;V;L;3
17;Enero;140;L;L;4;217;S;F;3
18;Enero;159;M;L;4;209;D;F;3
19;Enero;163;X;L;4;240;L;L;4
20;Enero;153;J;L;4;258;M;L;4
21;Enero;180;V;L;4;253;X;L;4
22;Enero;116;S;F;4;233;J;L;4
23;Enero;104;D;F;4;238;V;L;4
24;Enero;141;L;L;5;237;S;F;4
25;Enero;147;M;L;5;227;D;F;4
26;Enero;154;X;L;5;288;L;L;5
27;Enero;135;J;L;5;227;M;L;5
28;Enero;158;V;L;5;267;X;L;5
29;Enero;125;S;F;5;253;J;L;5
30;Enero;120;D;F;5;238;V;L;5
31;Enero;126;L;L;6;245;S;F;5
1;Febrero;144;M;L;6;194;D;F;5
2;Febrero;158;X;L;6;257;L;L;6
3;Febrero;145;J;L;6;239;M;L;6
4;Febrero;149;V;L;6;248;X;L;6
5;Febrero;124;S;F;6;257;J;L;6
6;Febrero;107;D;F;6;245;V;L;6
7;Febrero;152;L;L;7;231;S;F;6
8;Febrero;141;M;L;7;191;D;F;6
9;Febrero;140;X;L;7;234;L;L;7
10;Febrero;131;J;L;7;262;M;L;7
11;Febrero;148;V;L;7;258;X;L;7
12;Febrero;126;S;F;7;276;J;L;7
13;Febrero;128;D;F;7;247;V;L;7
14;Febrero;130;L;L;8;243;S;F;7
15;Febrero;130;M;L;8;222;D;F;7
16;Febrero;130;X;L;8;264;L;L;8
17;Febrero;160;J;L;8;244;M;L;8
18;Febrero;145;V;L;8;234;X;L;8
19;Febrero;126;S;F;8;252;J;L;8
20;Febrero;105;D;F;8;273;V;L;8
21;Febrero;123;L;L;9;255;S;F;8
22;Febrero;144;M;L;9;229;D;F;8
23;Febrero;163;X;L;9;247;L;L;9
24;Febrero;143;J;L;9;254;M;L;9
25;Febrero;138;V;L;9;228;X;L;9
26;Febrero;125;S;F;9;258;J;L;9
27;Febrero;108;D;F;9;263;V;L;9
28;Febrero;115;L;L;10;248;S;F;9
29;Febrero;;;;;218;D;F;9
1;Marzo;163;M;L;10;292;L;L;10
2;Marzo;130;X;L;10;270;M;L;10
3;Marzo;163;J;L;10;222;X;L;10
4;Marzo;139;V;L;10;278;J;L;10
5;Marzo;126;S;F;10;285;V;L;10
6;Marzo;104;D;F;10;232;S;F;10
7;Marzo;125;L;L;11;210;D;F;10
8;Marzo;131;M;L;11;269;L;L;11
9;Marzo;145;X;L;11;254;M;L;11
10;Marzo;145;J;L;11;241;X;L;11
11;Marzo;143;V;L;11;265;J;L;11
12;Marzo;119;S;F;11;265;V;L;11
13;Marzo;112;D;F;11;253;S;F;11
14;Marzo;133;L;L;12;231;D;F;11
15;Marzo;128;M;L;12;259;L;L;12
16;Marzo;140;X;L;12;256;M;L;12
17;Marzo;157;J;L;12;262;X;L;12
18;Marzo;166;V;L;12;262;J;L;12
19;Marzo;115;S;F;12;230;V;L;12
20;Marzo;106;D;F;12;256;S;F;12
21;Marzo;126;L;L;13;253;D;F;12
22;Marzo;144;M;L;13;282;L;L;13
23;Marzo;159;X;L;13;269;M;L;13
24;Marzo;152;J;L;13;264;X;L;13
25;Marzo;136;V;L;13;246;J;L;13
26;Marzo;113;S;F;13;217;V;L;13
27;Marzo;91;D;F;13;258;S;F;13
28;Marzo;133;L;L;14;244;D;F;13
29;Marzo;158;M;L;14;254;L;L;14
30;Marzo;154;X;L;14;259;M;L;14
31;Marzo;160;J;L;14;269;X;L;14
1;Abril;164;V;L;14;278;J;L;14
2;Abril;130;S;F;14;281;V;L;14
3;Abril;98;D;F;14;226;S;F;14
4;Abril;125;L;L;15;249;D;F;14
5;Abril;163;M;L;15;245;L;L;15
6;Abril;150;X;L;15;252;M;L;15
7;Abril;161;J;L;15;268;X;L;15
8;Abril;131;V;L;15;293;J;L;15
9;Abril;117;S;F;15;246;V;L;15
10;Abril;113;D;F;15;238;S;F;15
11;Abril;128;L;L;16;230;D;F;15
12;Abril;145;M;L;16;295;L;L;16
13;Abril;141;X;L;16;261;M;L;16
14;Abril;118;J;L;16;266;X;L;16
15;Abril;98;V;L;16;255;J;L;16
